Lian	sumtime	0.005	0.005	0	0	0.045	0.880001	TL	0	0.055	0.07	0.117777889
08
		4769867	4769868	4769869	4769870	4769871	4769872	4769873	4769874	4769875	4769876
Lian	numberofsteps	TL	2734	4184	203	192	4047	TL	206	2816	24208	4823.75
Lian	memory	TL	2643	5419	482	659	3284	TL	649	4181	16527	4230.5
Lian	pathlength	TL	507.04633	520.66345	449.50043	468.96542	497.49551	TL	511.29657	443.70255	489.51157	486.0227288
Lian	max_angle	TL	24.4866848	24.8515892	24.4866848	24.8515892	24.4866848	TL	24.4866848	22.40983391	24.8515892	24.36391759
Lian	dliantime	TL	0.02	0.03	0	0	0.025	TL	0.005	0.025	0.217003	0.040250375
Lian	sumtime	TL	0.015	0.02	0	0.005	0.01	TL	0	0.015	0.085	0.01875
09
		4770067	4770068	4770069	4770070	4770071	4770072	4770073	4770074	4770075	4770076
Lian	numberofsteps	218	6471	3620	2045	2783	4970	126	775	1507	17214	3972.9
Lian	memory	606	6964	5029	2278	2473	5501	518	1062	1837	15443	4171.1
Lian	pathlength	497.88788	513.86566	607.85303	494.59537	579.26434	523.41064	428.4216	510.35175	497.90536	533.55554	518.711117
Lian	max_angle	24.8515892	24.8515892	24.8515892	24.8515892	24.8515892	24.8515892	24.4866848	24.8515892	24.8515892	24.8515892	24.81509876
Lian	dliantime	0.005	0.04	0.02	0.015	0.015	0.04	0.005	0	0.01	0.145	0.0295
Lian	sumtime	0	0.015	0.02	0	0.01	0.02	0	0	0.01	0.065	0.014
10
		4770267	4770268	4770269	4770270	4770271	4770272	4770273	4770274	4770275	4770276
Lian	numberofsteps	92	365	14958	106	32080	24061	20528	271	131	2121	9471.3
Lian	memory	408	1105	14857	434	32207	20195	22586	557	485	2956	9579
Lian	pathlength	461.72003	445.72464	464.62344	465.69504	623.46228	536.05707	694.95386	497.24152	506.99103	512.17188	520.864079
Lian	max_angle	23.96249008	24.8515892	24.4866848	22.3801403	24.8515892	24.8515892	24.4866848	24.8515892	24.4866848	24.4866848	24.36957264
Lian	dliantime	0.005	0.005	0.155	0	0.25	0.265	0.12	0.005	0.005	0.005	0.0815
Lian	sumtime	0	0	0.07	0	0.075	0.16	0.24	0.005	0.005	0.005	0.056
11
		4770467	4770468	4770469	4770470	4770471	4770472	4770473	4770474	4770475	4770476
Lian	numberofsteps	2283	2506	419	179	107	292	3204	648	308496	12222	33035.6
Lian	memory	2112	3651	1000	416	622	649	3403	936	353228	10546	37656.3
Lian	pathlength	519.41071	468.98517	478.34381	519.61426	424.31662	504.5824	525.40717	534.74921	549.6366	602.60248	512.764843
Lian	max_angle	24.8515892	24.8515892	24.4866848	24.4866848	22.40983391	23.96249008	24.8515892	24.8515892	24.8515892	24.4866848	24.40903244
Lian	dliantime	0.015	0.01	0.005	0	0.005	0	0.015	0.005	13.415019	0.095	1.3565019
Lian	sumtime	0.005	0.01	0.01	0.005	0	0.005	0.01	0.01	26.480037	0.05	2.6585037
12
		4770674	4770675	4770676	4770677	4770678	4770679	4770680	4770681	4770682	4770683
Lian	numberofsteps	545	886	432388	3488	2419	4391	39766	4615	1057	11098	50065.3
Lian	memory	862	1159	343399	4272	2671	6849	46197	6092	1349	9664	42251.4
Lian	pathlength	546.82318	496.5907	564.19025	571.362	534.58862	474.10507	456.07932	644.98993	477.00073	497.96201	526.369181
Lian	max_angle	24.8515892	24.8515892	24.8515892	24.8515892	24.8515892	24.4866848	24.8515892	24.8515892	22.61986542	24.8515892	24.59192638
Lian	dliantime	0.005	0.005	24.382035	0.015	0.015	0.059001	0.390001	0.03	0.005	0.08	2.4986037
Lian	sumtime	0	0	10.532016	0.015	0.01	0.033	0.765001	0.02	0.005	0.035	1.1415017
13
		4770867	4770868	4770869	4770870	4770871	4770872	4770873	4770874	4770875	4770876
Lian	numberofsteps	278	1026	338	TL	750	102	415	87	TL	793	473.625
Lian	memory	648	2522	678	TL	1352	442	814	488	TL	1391	1041.875
Lian	pathlength	461.9017	494.47195	555.46295	TL	491.86877	434.28754	504.59058	418.72339	TL	495.75574	482.1328275
Lian	max_angle	22.40983391	24.8515892	24.8515892	TL	24.8515892	22.24902534	24.4866848	23.3440094	TL	24.8515892	23.98698878
Lian	dliantime	0	0.01	0.005	TL	0.005	0.005	0	0	TL	0.005	0.00375
Lian	sumtime	0.005	0.005	0	TL	0	0.005	0	0	TL	0.015	0.00375
14
		4771067	4771068	4771069	4771070	4771071	4771072	4771073	4771074	4771075	4771076
Lian	numberofsteps	3895	2734	889	TL	486	2385	TL	1846	234	122	1573.875
Lian	memory	3260	2728	970	TL	861	3413	TL	2462	549	473	1839.5
Lian	pathlength	479.69183	491.03131	508.82184	TL	507.62079	531.61224	TL	473.93103	449.0625	448.01392	486.2231825
Lian	max_angle	23.3440094	24.8515892	24.4866848	TL	24.8515892	24.8515892	TL	24.8515892	22.3801403	24.4866848	24.26298451
Lian	dliantime	0.035	0.01	0.005	TL	0.005	0.015	TL	0.01	0.005	0.005	0.01125
Lian	sumtime	0.005	0.005	0.01	TL	0	0.01	TL	0.005	0.005	0	0.005
15
		4771267	4771268	4771269	4771270	4771271	4771272	4771273	4771274	4771275	4771276
Lian	numberofsteps	2077	1974	4966	153	14623	464	503	213	6029	2331	3333.3
Lian	memory	3960	2432	4175	428	9948	1100	937	532	6621	3537	3367
Lian	pathlength	531.75323	527.32153	490.47144	483.86621	491.34824	528.88232	492.06976	473.76135	501.01996	475.68585	499.617989
Lian	max_angle	24.8515892	24.8515892	24.4866848	24.4866848	24.8515892	24.8515892	24.8515892	24.8515892	24.4866848	24.8515892	24.74211788
Lian	dliantime	0.01	0.015	0.03	0.005	0.08	0.005	0.005	0.005	0.025	0.015	0.0195
Lian	sumtime	0.01	0.01	0.01	0	0.04	0	0	0.004	0.06	0.01	0.0144
16
		4771467	4771468	4771469	4771470	4771471	4771472	4771473	4771474	4771475	4771476
Lian	numberofsteps	169	152	166	121	5561	1398	137697	TL	148333	2873	32941.11111
Lian	memory	523	500	558	517	4974	2880	115946	TL	108005	5235	26570.88889
Lian	pathlength	510.40195	485.88394	465.33096	478.97452	472.62845	470.07303	501.48505	TL	566.56586	522.08704	497.0478667
Lian	max_angle	24.8515892	24.4866848	24.8515892	24.4866848	24.8515892	22.61986542	24.4866848	TL	24.8515892	24.4866848	24.44144016
Lian	dliantime	0.005	0.005	0	0	0.04	0.015	2.085003	TL	2.707005	0.015	0.541334222
Lian	sumtime	0.005	0.005	0	0	0.03	0.005	0.615001	TL	1.190002	0.03	0.208889222
17
		4771667	4771668	4771669	4771670	4771671	4771672	4771673	4771674	4771675	4771676
Lian	numberofsteps	186	451	1334	440	17283	3598	267	2536	2789	5848	3473.2
Lian	memory	584	1253	2406	870	20971	3937	741	2614	3861	6565	4380.2
Lian	pathlength	509.29767	540.27985	486.79852	467.79797	531.35504	570.42126	530.05035	487.8381	495.06784	467.86478	508.677138
Lian	max_angle	24.4866848	23.96249008	24.8515892	24.4866848	24.4866848	24.8515892	24.4866848	24.8515892	24.8515892	24.8515892	24.61671753
Lian	dliantime	0.003	0	0.015	0.005	0.212002	0.02	0	0.015	0.015	0.05	0.0335002
Lian	sumtime	0.001	0.005	0.005	0	0.075	0.015	0.005	0.005	0.025	0.025	0.0161
18
		4771867	4771868	4771869	4771870	4771871	4771872	4771873	4771874	4771875	4771876
Lian	numberofsteps	119	621	362	30173	21410	252	2763	TL	28740	52449	13518.625
Lian	memory	378	1090	903	28085	24649	563	6095	TL	28741	47094	13607.125
Lian	pathlength	438.04892	529.23059	483.90347	473.2641	694.92981	535.83197	528.53668	TL	PNF	524.37085	526.0145488
Lian	max_angle	24.4866848	24.8515892	24.4866848	24.4866848	24.4866848	24.4866848	24.4866848	TL	0	24.8515892	24.5779109
Lian	dliantime	0	0.005	0.005	0.245	0.125	0.005	0.025	TL	0.17	0.660001	0.133750125
Lian	sumtime	0	0	0.005	0.440001	0.13	0.005	0.005	TL	0.228004	0.245	0.103750125
19
		4772067	4772068	4772069	4772070	4772071	4772072	4772073	4772074	4772075	4772076
Lian	numberofsteps	1706	2134	3573	348	14723	285	244	1515	62078	452	8705.8
Lian	memory	2300	3048	4344	772	11458	610	558	2170	56751	848	8285.9
Lian	pathlength	516.10114	525.32355	461.61539	516.73322	534.19238	467.96182	473.23492	569.0246	518.69122	520.427	510.330524
Lian	max_angle	24.4866848	24.4866848	24.8515892	23.96249008	24.8515892	24.4866848	21.80140686	24.8515892	24.8515892	24.8515892	24.34818974
Lian	dliantime	0.01	0.015	0.015	0.005	0.105	0.005	0.005	0.01	1.049005	0	0.1219005
Lian	sumtime	0.01	0.02	0.01	0.005	0.065	0.005	0	0.01	0.502003	0.015	0.0642003
20
		4772267	4772268	4772269	4772270	4772271	4772272	4772273	4772274	4772275	4772276
Lian	numberofsteps	404	1436	8972	62092	286	9130	2095	848	9228	174	9466.5
Lian	memory	821	1854	7369	51375	581	11797	2728	1327	7217	487	8555.6
Lian	pathlength	540.02734	517.2616	478.15817	546.33844	505.48523	540.72217	487.0271	540.20886	458.22385	467.34299	508.079575
Lian	max_angle	24.8515892	24.8515892	24.4866848	24.8515892	24.4866848	24.8515892	24.8515892	24.8515892	24.8515892	24.4866848	24.74211788
Lian	dliantime	0.005	0.005	0.05	0.980001	0.005	0.075	0.03	0.005	0.055	0.005	0.1215001
Lian	sumtime	0.005	0.005	0.025	0.485001	0	0.065	0.005	0.01	0.02	0.005	0.0625001
21
		4772467	4772468	4772469	4772470	4772471	4772472	4772473	4772474	4772475	4772476
Lian	numberofsteps	84	TL	105	130	32778	4534	164883	86	2038	756	22821.55556
Lian	memory	553	TL	481	590	30562	6385	124175	508	1383	1326	18440.33333
Lian	pathlength	414.14963	TL	469.05746	506.72943	570.49976	586.58795	570.87317	422.54715	498.73135	441.76517	497.8823411
Lian	max_angle	5.71057272	TL	22.40983391	23.96249008	24.8515892	24.8515892	24.8515892	17.02051926	24.8515892	24.8515892	21.48459578
Lian	dliantime	0.005	TL	0	0	0.24	0.03	3.495005	0.005	0.01	0.01	0.421667222
Lian	sumtime	0	TL	0	0	0.115	0.015	1.625002	0.005	0.015	0.005	0.197778
22
		4772667	4772668	4772669	4772670	4772671	4772672	4772673	4772674	4772675	4772676
Lian	numberofsteps	1821	1154	1664	1694	9691	11512	9530	591641	1301	98	63010.6
Lian	memory	2300	1457	1391	1808	8247	13649	10856	495601	2078	499	53788.6
Lian	pathlength	481.71786	525.31616	498.09653	540.85913	495.97067	496.74631	510.84006	609.29266	551.57269	457.97498	516.838705
Lian	max_angle	24.4866848	24.8515892	24.4866848	24.8515892	24.8515892	24.4866848	24.4866848	24.8515892	24.8515892	22.61986542	24.48245506
Lian	dliantime	0.015	0.005	0.01	0.01	0.06	0.06	0.105	51.175072	0.01	0.005	5.1455072
Lian	sumtime	0	0.005	0.01	0.005	0.03	0.095	0.05	19.310027	0	0	1.9505027
23
		4772867	4772868	4772869	4772870	4772871	4772872	4772873	4772874	4772875	4772876
Lian	numberofsteps	101	2215	807	172414	1316	36749	61982	3147	1841	13376	32649.66667
Lian	memory	102	2508	1120	148161	1234	34937	49459	6036	2945	13150	28838.88889
Lian	pathlength	PNF	633.70593	467.1658	526.74738	463.66553	549.33087	659.22498	559.06519	501.64319	575.27643	548.4250333
Lian	max_angle	0	24.8515892	24.8515892	24.8515892	22.61986542	24.8515892	24.8515892	24.8515892	22.40983391	24.8515892	24.33231375
Lian	dliantime	0	0.01	0.005	3.890006	0.01	0.485001	0.475001	0.025	0.01	0.11	0.557778667
Lian	sumtime	0	0.02	0	1.080002	0.005	0.2	0.295	0.045	0.015	0.07	0.192222444
24
		4773067	4773068	4773069	4773070	4773071	4773072	4773073	4773074	4773075	4773076
Lian	numberofsteps	17609	TL	41171	239109	106	27639	11952	501	233	3245	42682.375
Lian	memory	12717	TL	37216	202533	107	21818	10603	928	753	4772	36417.5
Lian	pathlength	460.10059	TL	600.19189	460.90164	PNF	500.27689	517.435	459.00482	481.76172	521.43469	500.138405
Lian	max_angle	24.4866848	TL	24.8515892	24.8515892	0	24.8515892	24.8515892	22.40983391	24.8515892	24.8515892	24.50075674
Lian	dliantime	0.11	TL	0.405001	6.752011	0	0.185	0.08	0.005	0	0.025	0.9452515
Lian	sumtime	0.055	TL	0.415001	2.872005	0	0.1	0.05	0.005	0.005	0.015	0.43962575
25
		4773267	4773268	4773269	4773270	4773271	4773272	4773273	4773274	4773275	4773276
Lian	numberofsteps	123	677	48	TL	158	8571	603740	14809	4287	491	79107
Lian	memory	463	1152	49	TL	376	8261	448146	16077	5145	704	60040.5
Lian	pathlength	457.6001	564.5965	PNF	TL	554.94757	446.71539	637.93787	503.28079	489.60187	529.56781	523.0309875
