Moscow Maps 2.0
00
Lian/obstacleposition=0.6	sumtime	36.734605	3.170231	11.822837	45.008178	0.380028	2.427166	34.143416	TL	57.538078	107.735637	33.21779733
Lian/obstacleposition=0.8	numberofsteps	881325	258182	263249	TL	21920	235349	412424	TL	TL	TL	345408.1667
Lian/obstacleposition=0.8	memory	1037209	294700	326920	TL	32412	288261	504893	TL	TL	TL	414065.8333
Lian/obstacleposition=0.8	pathlength	511.50607	554.14661	456.28448	TL	460.18076	515.54175	514.58612	TL	TL	TL	502.040965
Lian/obstacleposition=0.8	max_angle	24.4866848	24.8515892	23.96249008	TL	22.61986542	24.4866848	23.96249008	TL	TL	TL	24.06163406
Lian/obstacleposition=0.8	dliantime	78.018324	4.787346	6.205434	TL	0.202021	3.307235	17.619248	TL	TL	TL	18.35660133
Lian/obstacleposition=0.8	sumtime	94.967619	6.069435	11.622831	TL	0.344025	4.035293	34.014406	TL	TL	TL	25.1756015
02
		4768667	4768668	4768669	4768670	4768671	4768672	4768673	4768674	4768675	4768676
Lian/obstacleposition=0.2	numberofsteps	TL	TL	31392	98362	583809	437970	TL	547850	177095	66593	277581.5714
Lian/obstacleposition=0.2	memory	TL	TL	47614	100749	554268	405818	TL	549466	184715	66785	272773.5714
Lian/obstacleposition=0.2	pathlength	TL	TL	454.9704	455.20636	490.38129	480.23163	TL	522.75409	502.15335	442.58301	478.3257329
Lian/obstacleposition=0.2	max_angle	TL	TL	24.4866848	23.96249008	40.66173553	29.67307854	TL	24.4866848	23.96249008	22.40983391	27.09185682
Lian/obstacleposition=0.2	dliantime	TL	TL	0.421031	2.647194	31.887259	19.201366	TL	12.201865	5.709406	1.699115	10.53817657
Lian/obstacleposition=0.2	sumtime	TL	TL	0.15301	1.020078	25.746831	16.391162	TL	6.323447	4.970353	0.876062	7.925849
Lian/obstacleposition=0.4	numberofsteps	TL	TL	23705	70492	529065	367714	184942	492718	140231	60099	233620.75
Lian/obstacleposition=0.4	memory	TL	TL	36548	89608	537747	392690	215676	531666	154704	75299	254242.25
Lian/obstacleposition=0.4	pathlength	TL	TL	453.72409	453.20187	489.10184	479.35968	519.5459	516.95972	499.90329	444.13907	481.9919325
Lian/obstacleposition=0.4	max_angle	TL	TL	20.85445213	23.96249008	29.67307854	23.96249008	24.4866848	77.86868286	23.96249008	22.40983391	30.89752531
Lian/obstacleposition=0.4	dliantime	TL	TL	0.274025	2.254159	33.871407	19.48338	2.763196	9.76169	5.259374	1.144081	9.351414
Lian/obstacleposition=0.4	sumtime	TL	TL	0.225021	1.151086	28.239007	15.557104	3.191221	11.566813	4.747332	0.694044	8.1714535
Lian/obstacleposition=0.6	numberofsteps	TL	TL	21030	70953	TL	368722	340368	334543	178159	83674	199635.5714
Lian/obstacleposition=0.6	memory	TL	TL	33089	99270	TL	454565	400946	377469	233756	110570	244237.8571
Lian/obstacleposition=0.6	pathlength	TL	TL	453.35028	453.20187	TL	485.82657	540.16583	492.18692	505.47699	448.13913	482.6210843
Lian/obstacleposition=0.6	max_angle	TL	TL	22.3801403	23.96249008	TL	24.8515892	24.4866848	24.4866848	22.40983391	23.96249008	23.79141617
Lian/obstacleposition=0.6	dliantime	TL	TL	0.257018	1.386092	TL	21.798545	7.95957	6.967498	7.564542	2.032144	6.852201286
Lian/obstacleposition=0.6	sumtime	TL	TL	0.13401	1.340102	TL	27.129924	9.290665	6.408459	4.511326	1.480104	7.184941429
Lian/obstacleposition=0.8	numberofsteps	128836	370853	9630	86967	469174	200859	136801	259213	111785	43945	181806.3
Lian/obstacleposition=0.8	memory	175117	442405	16867	121226	578828	275489	172868	306588	158731	64524	231264.3
Lian/obstacleposition=0.8	pathlength	476.11279	520.64056	451.68555	454.36813	495.5242	474.33743	513.6687	485.80148	500.23932	443.67761	481.605577
Lian/obstacleposition=0.8	max_angle	22.40983391	24.4866848	22.40983391	23.96249008	23.96249008	23.96249008	24.4866848	24.4866848	23.96249008	22.61986542	23.6749548
Lian/obstacleposition=0.8	dliantime	1.901135	8.757628	0.091013	1.403099	32.890326	9.005638	1.564118	5.718411	3.285233	0.76406	6.5380661
